	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
11725	9.124568	1.697641	9.007124	0.711089	-1.501187	8.613146	2.765345	-0.313898	9.008195	1.181936	0.158020	-9.440607	3.399565	-3.794614	21.926182	0.378038	-4.158414	161.913712	0.464121	87.010315	0.464121	0.464121	0.202306	-0.187883	0.116461
11726	9.087667	1.622780	9.007124	0.749048	-1.501187	8.688006	2.765345	-0.391931	9.007137	1.109190	0.120061	-9.403706	3.321532	-3.640663	21.926182	0.378038	-4.521659	161.887680	0.464121	87.010315	0.464121	0.464121	0.424402	-0.100339	0.120252
11727	9.123644	1.582272	8.932158	0.713084	-1.463704	8.765998	2.765345	-0.357513	9.044607	1.143674	0.118541	-9.477166	3.280984	-3.597076	21.926182	0.378038	-4.894889	161.887360	0.464121	87.010315	0.464121	0.464121	0.158373	-0.145067	-1.108374
11728	9.088592	1.506221	8.965201	0.748137	-1.461722	8.695999	2.802353	-0.429600	9.009582	1.256628	0.118515	-9.518111	3.315957	-3.594989	21.926182	0.378038	-4.559964	161.887360	0.464121	87.010315	0.464121	0.464121	0.159212	-0.144638	-0.231389
11729	9.122720	1.428229	8.967566	0.750541	-1.498215	8.800788	2.768265	-0.434448	9.007177	1.227466	0.081982	-9.484102	3.354893	-3.594949	21.576590	0.378038	-4.886550	161.887360	0.464121	87.010315	0.464121	0.464121	0.467395	-0.100617	-0.055121
11730	9.161630	1.386253	8.967619	0.786651	-1.537178	8.773344	2.765411	-0.398497	9.115295	1.188662	0.043019	-9.517306	3.393910	-3.558892	21.893822	0.378038	-4.913854	161.887360	0.464121	87.010315	0.464121	0.464121	0.335011	-0.187238	1.168233
11731	9.165064	1.489496	9.074363	0.754438	-1.433869	8.841337	2.800926	-0.430710	9.160981	1.149646	0.004003	-9.556190	3.468507	-3.484361	21.925419	0.378038	-4.914489	161.887360	0.464121	86.134468	0.464121	0.464121	0.246622	-0.054452	0.643362
11732	9.165144	1.500908	9.120960	0.785793	-1.422457	8.884025	2.839863	-0.469567	9.094839	1.180842	0.105411	-9.489888	3.511353	-3.617044	21.926182	0.378038	-4.578547	161.887360	0.464121	86.040169	0.464121	0.464121	0.601814	0.077440	-0.580098
11733	9.165144	1.535818	9.090902	0.755362	-1.456808	8.888503	2.844248	-0.404692	9.051717	1.115781	0.048935	-9.481396	3.550462	-3.772548	22.257572	0.378038	-4.537470	161.887360	0.464121	86.037880	0.464121	0.464121	0.334313	0.078415	0.117604
11734	9.130989	1.643039	9.086254	0.784869	-1.529873	8.786143	2.810199	-0.292823	9.046749	1.072222	0.073900	-9.447028	3.521168	-3.757838	22.303072	0.378038	-4.209605	160.205856	0.464121	86.037880	0.464121	0.464121	0.645535	-0.011366	-0.230159
11735	9.159452	1.827206	9.052454	0.789965	-1.473066	8.736815	2.771303	-0.209575	9.080309	1.033087	0.112556	-9.475492	3.482392	-3.753102	22.304220	0.378038	-4.159690	159.120026	0.464121	86.037880	0.464121	0.464121	0.423791	-0.009737	0.292352
11736	9.098587	1.855997	9.079982	0.823304	-1.461976	8.664327	2.732287	-0.164613	9.052781	1.027275	0.118368	-9.414626	3.476581	-3.819379	22.304220	0.378038	-4.158414	158.973694	0.464121	86.037880	0.464121	0.464121	0.422938	-0.052650	1.691769
11737	9.151915	1.856732	8.955055	0.862173	-1.396223	8.619171	2.758730	-0.125450	9.014060	1.092588	0.151244	-9.369764	3.443704	-3.831658	22.304220	0.691240	-4.158414	158.970078	0.464121	86.037880	0.464121	0.464121	0.468478	-0.320121	0.465552
11738	9.164797	1.856732	8.928809	0.868935	-1.415275	8.612248	2.829681	-0.247709	9.007298	1.041280	0.093336	-9.395097	3.501613	-3.767468	22.304220	1.063073	-4.467075	158.970078	0.464121	86.037880	0.464121	0.464121	0.557411	-0.055920	-0.405657
11739	9.165144	1.793172	8.991673	0.869108	-1.549109	8.643854	2.843980	-0.275786	9.070683	1.027503	0.142944	-9.433765	3.610903	-3.816902	22.304220	0.828210	-4.534659	158.187805	0.464121	86.037880	0.464121	0.464121	0.336074	0.076454	-0.754342
11740	9.165144	1.715515	9.006722	0.931717	-1.516785	8.713988	2.813050	-0.339143	9.054428	1.027128	0.095009	-9.472781	3.633851	-3.831577	22.304220	0.757998	-4.536451	158.002579	0.464121	86.037880	0.464121	0.464121	0.379167	-0.054335	0.116422
11741	9.257631	1.699141	9.037953	1.009348	-1.501616	8.760990	2.774235	-0.200970	9.077673	1.027128	0.079439	-9.480968	3.603625	-3.831978	22.304220	0.756075	-4.536451	157.238770	0.464121	86.037880	0.464121	0.464121	0.379875	-0.099166	-0.057501
11742	9.222266	1.698712	9.076755	0.965964	-1.501187	8.739512	2.674511	-0.189515	9.085906	0.996774	0.139718	-9.420475	3.534469	-3.862332	22.304220	0.756075	-4.536451	157.030823	0.464121	86.037880	0.464121	0.464121	0.291579	-0.188828	0.118935
11743	9.175254	1.698712	9.026134	0.948602	-1.531066	8.790589	2.617677	-0.257040	9.086134	0.987865	0.127657	-9.372778	3.546301	-3.901120	22.304220	0.470156	-4.536451	156.289734	0.464121	86.037880	0.464121	0.464121	0.336107	-0.143014	-0.234684
11744	9.165400	1.728115	8.978231	0.859908	-1.511033	8.809089	2.607581	-0.276023	9.056730	1.017027	0.089367	-9.362924	3.525784	-3.763715	22.304220	0.380483	-4.536451	156.059067	0.464121	85.314102	0.464121	0.464121	0.113640	-0.101488	1.173996
11745	9.165144	1.766876	8.996817	0.714699	-1.530385	8.780671	2.665182	-0.247606	9.046898	1.055787	0.108207	-9.420525	3.458352	-3.743738	22.304220	0.101213	-4.536451	156.052780	0.464121	85.072083	0.464121	0.464121	0.203543	0.075335	-0.928007
11746	9.136690	1.720532	9.006841	0.615810	-1.625769	8.713471	2.685769	-0.294219	9.075083	1.123257	0.089778	-9.498018	3.409042	-3.724232	22.576500	0.274989	-4.536451	156.052780	0.464121	85.065453	0.464121	0.464121	0.246690	-0.009924	1.871238
11747	9.209870	1.615372	9.035102	0.565190	-1.574382	8.719656	2.714313	-0.343424	9.085837	1.173027	0.079307	-9.464138	3.425699	-3.685782	22.411686	0.107464	-4.268719	156.052780	0.464121	85.065453	0.464121	0.464121	0.292125	0.121216	-0.404173
11748	9.188215	1.553626	9.046318	0.580883	-1.569128	8.785286	2.725529	-0.300227	9.086134	1.102328	0.106513	-9.414797	3.546631	-3.619263	22.044004	0.002974	-4.161387	156.052780	0.464121	85.065453	0.464121	0.464121	0.201746	-0.098827	0.993143
11749	9.192822	1.541017	9.019601	0.592249	-1.471761	8.808950	2.752868	-0.304212	9.113162	0.986523	0.199274	-9.456553	3.593651	-3.541542	21.929287	0.000000	-4.158414	155.387482	0.464121	85.065453	0.464121	0.464121	0.025841	-0.055714	1.171920
11750	9.124652	1.567245	9.007463	0.592574	-1.370425	8.783047	2.791559	-0.289148	9.098747	1.028793	0.236014	-9.507059	3.568396	-3.649381	21.926182	0.000000	-4.412510	154.435059	0.464121	85.065453	0.464121	0.464121	0.157975	0.209740	-0.404151
11751	9.139347	1.579845	9.059280	0.644730	-1.369950	8.718291	2.804497	-0.302965	9.112564	1.169888	0.106640	-9.442101	3.529718	-3.711702	21.926182	0.000000	-4.533079	152.832748	0.464121	85.065453	0.464121	0.464121	0.424427	-0.099907	-0.056462
11752	9.164412	1.631405	9.034194	0.645247	-1.433513	8.717422	2.753643	-0.366880	9.099669	1.146376	0.041337	-9.403273	3.516305	-3.790275	21.926182	0.000000	-4.536451	151.550858	0.464121	85.065453	0.464121	0.464121	0.246228	-0.054346	0.467392
11753	9.140015	1.708704	9.033013	0.707845	-1.435794	8.730209	2.726600	-0.394289	9.061385	1.107278	0.064634	-9.351916	3.641582	-3.906224	21.926182	0.000000	-4.776917	150.581436	0.464121	85.065453	0.464121	0.464121	0.291167	-0.055735	-0.056172
11754	9.126033	1.712775	9.070889	0.749411	-1.496533	8.681282	2.725840	-0.395049	9.071677	1.130792	0.053962	-9.447221	3.637531	-3.826041	22.162104	0.000000	-4.910717	150.227905	0.464121	85.065453	0.464121	0.464121	0.112754	-0.098968	0.291100
11755	9.173997	1.674941	9.061547	0.774773	-1.587826	8.676575	2.774198	-0.322513	9.109905	1.145235	0.088271	-9.518647	3.499457	-3.682472	22.300316	0.000000	-4.914489	149.623032	0.464121	85.065453	0.464121	0.464121	0.290832	0.080314	2.220249
11756	9.180100	1.612221	9.047051	0.765972	-1.618858	8.738070	2.827710	-0.301505	9.077808	1.050826	0.165079	-9.473280	3.438618	-3.588312	22.304220	0.226834	-4.687655	148.672684	0.464121	85.065453	0.464121	0.464121	0.292148	0.033510	0.470936
11757	9.142351	1.557840	9.046629	0.751030	-1.666161	8.792452	2.843919	-0.269145	9.047502	1.035827	0.150194	-9.419321	3.413700	-3.602775	22.304220	0.596152	-4.540626	147.140488	0.464121	85.065453	0.464121	0.464121	0.292049	-0.099886	0.119370
11758	9.126089	1.518388	9.023874	0.818858	-1.652302	8.786395	2.776091	-0.283440	9.001120	1.088487	0.096661	-9.425378	3.375120	-3.610798	22.304220	0.534016	-4.318703	146.350647	0.464121	85.065453	0.464121	0.464121	0.248255	-0.099757	0.294529
11759	9.125639	1.568491	9.007588	0.889995	-1.553792	8.748280	2.749513	-0.359670	8.968548	1.105674	0.012635	-9.441214	3.336103	-3.617693	22.091015	0.595686	-4.162858	145.780045	0.464121	84.517029	0.464121	0.464121	0.380205	-0.499143	-0.585605
11760	9.103834	1.661877	8.985319	0.864524	-1.546234	8.687458	2.764866	-0.372287	8.989424	1.171554	-0.016264	-9.441678	3.253477	-3.677586	21.930763	0.751495	-4.158414	145.367828	0.464121	84.104805	0.464121	0.464121	0.379742	-0.144305	0.294406
11761	9.129288	1.676396	8.989443	0.851919	-1.600542	8.673896	2.808006	-0.377368	9.027962	1.201844	-0.021823	-9.505670	3.201378	-3.691148	21.926182	0.756075	-4.362533	145.356049	0.464121	84.093025	0.464121	0.464121	0.335627	-0.009851	0.292509
11762	9.184986	1.638858	9.006617	0.826889	-1.660907	8.669722	2.822484	-0.436254	9.066978	1.185655	-0.038998	-9.496104	3.199899	-3.674466	21.926182	0.756075	-4.531599	144.842667	0.464121	84.093025	0.464121	0.464121	0.691382	0.121932	0.648687
11763	9.183746	1.620223	9.047887	0.831903	-1.636526	8.713245	2.846133	-0.432254	9.085612	1.185148	0.001258	-9.463623	3.261043	-3.633196	22.121218	0.561039	-4.536451	144.396454	0.464121	84.093025	0.464121	0.464121	0.555971	-0.186098	0.463809
11764	9.165679	1.579889	9.104970	0.808317	-1.541990	8.808302	2.882789	-0.396120	9.066227	1.125427	0.078247	-9.480648	3.376528	-3.576113	22.299095	0.383162	-4.345956	143.893616	0.464121	84.093025	0.464121	0.464121	0.378957	-0.143702	-0.584997
11765	9.165144	1.580656	9.125090	0.752243	-1.443991	8.848005	2.883860	-0.395049	9.066610	1.048850	0.136847	-9.461751	3.513008	-3.653154	22.304220	0.563991	-4.163675	142.946396	0.464121	84.093025	0.464121	0.464121	0.335645	-0.055915	0.295700
11766	9.165144	1.656489	9.087724	0.769551	-1.384365	8.849105	2.845944	-0.376092	9.066612	1.027692	0.157456	-9.461200	3.611650	-3.788063	22.304220	0.569263	-3.977001	141.986008	0.464121	84.093025	0.464121	0.464121	0.025540	-0.011141	0.294735
11767	9.165144	1.716038	9.047786	0.789520	-1.382673	8.812139	2.750558	-0.337640	9.065691	1.045611	0.158020	-9.480604	3.578426	-3.793855	22.304220	0.383573	-3.785912	141.025620	0.464121	84.093025	0.464121	0.464121	0.158738	-0.142556	1.343433
11768	9.165144	1.719615	9.010611	0.790099	-1.472717	8.717254	2.670105	-0.298624	9.085541	1.066040	0.122002	-9.445165	3.535727	-3.826190	22.304220	0.378038	-3.952711	140.065216	0.464121	84.093025	0.464121	0.464121	0.201800	-0.099568	-0.234228
11769	9.165144	1.716853	8.986367	0.755030	-1.559628	8.635866	2.664972	-0.277142	9.103668	1.084168	0.045155	-9.420921	3.554837	-3.908560	22.304220	0.378038	-4.152606	138.673203	0.464121	84.093025	0.464121	0.464121	0.337797	0.077412	0.824100
11770	9.182204	1.754656	9.040624	0.712332	-1.524253	8.646817	2.719835	-0.293595	9.125017	1.122577	0.018303	-9.526359	3.504262	-3.757445	22.304220	0.378038	-4.158414	137.607239	0.464121	84.093025	0.464121	0.464121	0.335441	0.077786	0.120241
11771	9.204014	1.760500	9.101449	0.694503	-1.501823	8.722985	2.764074	-0.298818	9.158811	1.161593	0.055455	-9.619440	3.455421	-3.577749	22.304220	0.378038	-4.158414	137.168365	0.464121	84.093025	0.464121	0.464121	0.555889	-0.097490	0.464832
11772	9.220761	1.658306	9.108876	0.704458	-1.517300	8.784906	2.813682	-0.325521	9.155012	1.120049	0.094472	-9.600348	3.475784	-3.594299	22.304220	0.378038	-4.312598	135.826996	0.464121	84.093025	0.464121	0.464121	0.422802	-0.099834	0.468437
11773	9.259129	1.544011	9.086798	0.780542	-1.571304	8.808936	2.897507	-0.377420	9.072487	1.014145	0.164764	-9.552785	3.507709	-3.594949	22.304220	0.378038	-4.530100	134.307083	0.464121	84.093025	0.464121	0.464121	0.911421	-0.142567	-0.410258
11774	9.222323	1.540692	9.086134	0.813083	-1.663838	8.809600	2.892358	-0.371387	9.032144	1.003466	0.159174	-9.452889	3.554087	-3.640441	22.304220	0.378038	-4.536451	133.330338	0.464121	84.093025	0.464121	0.464121	0.467392	0.210497	0.121029
11775	9.128406	1.584762	9.086134	0.761411	-1.706762	8.824289	2.816359	-0.379668	9.037195	1.070506	0.057654	-9.388866	3.540754	-3.740768	22.304220	0.378038	-4.536451	132.008316	0.464121	84.093025	0.464121	0.464121	0.290089	-0.275790	1.517685
11776	9.125639	1.685519	9.086134	0.684071	-1.617974	8.834183	2.738327	-0.356251	9.070506	1.100877	0.092519	-9.377590	3.488214	-3.791060	22.168186	0.242004	-4.536451	130.104553	0.464121	83.743103	0.464121	0.464121	0.247777	-0.234972	-0.404474
11777	9.139380	1.764257	9.072392	0.688485	-1.487890	8.782839	2.674036	-0.314321	9.047350	1.029291	0.117794	-9.415193	3.410888	-3.819956	21.933081	0.006899	-4.536451	127.845528	0.464121	83.138344	0.464121	0.464121	0.291448	-0.099436	-0.583443
11778	9.151141	1.789221	9.034098	0.800423	-1.372348	8.718794	2.634299	-0.265771	9.033361	1.040395	0.091980	-9.414408	3.372658	-3.883279	22.053143	0.000000	-4.409492	125.308655	0.464121	83.120598	0.464121	0.464121	0.158167	-0.144763	0.118834
11779	9.126389	1.714131	8.982287	0.764889	-1.331124	8.679042	2.608075	-0.352919	9.007874	1.078676	0.053797	-9.364168	3.383881	-3.871860	22.174625	0.000000	-4.165589	123.369720	0.464121	83.120598	0.464121	0.464121	0.291172	-0.099974	0.119209
11780	9.150277	1.660736	8.954281	0.611264	-1.329065	8.627707	2.595006	-0.382985	9.019443	1.068417	0.078245	-9.374987	3.371002	-3.819405	22.051382	0.000000	-4.158414	121.448936	0.464121	83.120598	0.464121	0.464121	0.380623	0.077939	-0.406329
11781	9.179401	1.659207	9.005566	0.566472	-1.428493	8.621507	2.592289	-0.267806	9.057694	0.989961	0.079010	-9.389549	3.420334	-3.893614	22.296764	0.000000	-4.158414	119.819695	0.464121	83.120598	0.464121	0.464121	0.290074	-0.009756	0.993135
11782	9.127227	1.636466	8.995753	0.580409	-1.560257	8.738784	2.633872	-0.249194	9.051229	1.010364	0.079010	-9.363461	3.474846	-3.914793	22.195412	0.000000	-4.158414	118.280350	0.464121	83.120598	0.464121	0.464121	0.113734	-0.097679	0.465048
11783	9.136536	1.592711	9.001117	0.553878	-1.607188	8.780183	2.597238	-0.286622	8.980942	1.065016	0.100803	-9.373565	3.465537	-3.790819	21.933920	0.000000	-4.262685	115.706467	0.464121	83.120598	0.464121	0.464121	0.380514	0.076075	-0.402939
11784	9.143476	1.608456	9.062819	0.573914	-1.549754	8.819199	2.547800	-0.325638	9.006300	1.045788	0.135528	-9.390927	3.448175	-3.666831	21.926182	0.000000	-4.528569	114.022331	0.464121	83.120598	0.464121	0.464121	0.380070	0.033938	0.294476
11785	9.077863	1.590984	9.008801	0.630402	-1.434353	8.838318	2.510384	-0.344758	9.017073	0.999248	0.100583	-9.383403	3.465647	-3.675085	21.926182	0.095198	-4.536451	113.041649	0.464121	83.120598	0.464121	0.464121	0.290599	-0.011690	0.471543
11786	9.047482	1.609374	9.016599	0.622604	-1.355202	8.791504	2.594537	-0.316893	9.045775	1.026275	0.156313	-9.449446	3.437782	-3.789060	22.016848	0.369871	-4.536451	112.314468	0.464121	83.120598	0.464121	0.464121	0.069197	-0.187379	-0.060885
11787	9.055630	1.581064	9.036761	0.611442	-1.399806	8.732325	2.710735	-0.325040	9.037628	1.036129	0.158020	-9.462315	3.445929	-3.783473	22.209791	0.378038	-4.536451	112.293465	0.464121	83.120598	0.464121	0.464121	0.158960	-0.011638	-0.581379
11788	9.085251	1.580197	8.999480	0.678346	-1.459918	8.730590	2.793676	-0.380242	8.999480	1.048698	0.149493	-9.403937	3.484078	-3.753851	21.934626	0.459632	-4.536451	112.083580	0.464121	83.120598	0.464121	0.464121	0.202307	0.209893	0.648626
11789	9.086134	1.580197	8.992674	0.726297	-1.485840	8.738643	2.766242	-0.455263	8.968515	1.005522	0.111359	-9.418279	3.498936	-3.744916	21.926182	0.670433	-4.459393	111.343117	0.464121	83.120598	0.464121	0.464121	0.512859	-0.143876	0.644862
11790	9.093713	1.572618	9.068240	0.788274	-1.600197	8.754025	2.750188	-0.374137	8.975198	1.064809	0.072343	-9.456622	3.438753	-3.729533	21.926182	0.386766	-4.167143	111.134483	0.464121	83.120598	0.464121	0.464121	0.246803	-0.098774	1.169388
11791	9.131817	1.541619	9.001873	0.790099	-1.667512	8.692939	2.688190	-0.279316	9.027512	1.066633	0.040432	-9.379659	3.436929	-3.790619	21.994171	0.378038	-4.158414	110.371429	0.464121	83.120598	0.464121	0.464121	0.157986	-0.277196	0.291928
11792	9.164202	1.553954	8.975192	0.776837	-1.551092	8.691085	2.686335	-0.263273	9.109550	1.060002	0.046136	-9.459686	3.443560	-3.792473	22.295204	0.378038	-4.158414	110.348610	0.464121	83.120598	0.464121	0.464121	0.202374	-0.187433	1.168480
11793	9.171301	1.623945	9.012324	0.719160	-1.573083	8.703400	2.686335	-0.205596	9.054700	1.040399	0.090367	-9.551165	3.475477	-3.792473	22.304220	0.319118	-4.158414	110.348610	0.464121	83.120598	0.464121	0.464121	0.248343	-0.278357	-0.932646
11794	9.203676	1.663918	9.045656	0.732571	-1.535981	8.768151	2.674968	-0.247424	9.085161	1.098510	0.150392	-9.515977	3.476434	-3.781106	22.304220	0.063689	-4.104028	110.348610	0.464121	83.120598	0.464121	0.464121	0.423900	-0.055521	0.820790
11795	9.204649	1.697725	9.057048	0.635040	-1.491755	8.780514	2.609299	-0.329694	9.086134	1.067620	0.119502	-9.482170	3.466015	-3.710228	22.304220	0.318740	-3.839674	110.220375	0.464121	83.120598	0.464121	0.464121	0.423263	0.033617	0.820497
11796	9.199913	1.693976	9.114162	0.627343	-1.419446	8.842364	2.612061	-0.431547	9.081398	1.057161	0.118515	-9.481183	3.418372	-3.679697	22.304220	0.009593	-4.148821	109.284279	0.464121	83.004021	0.464121	0.464121	0.689853	-0.052935	0.817277
11797	9.170424	1.664487	9.048663	0.602116	-1.370904	8.810617	2.633027	-0.417506	9.056170	0.985396	0.122777	-9.476921	3.547112	-3.725233	22.263433	0.000000	-4.199200	108.218964	0.464121	82.173210	0.464121	0.464121	0.557244	-0.186648	0.641615
11798	9.203616	1.705256	9.046629	0.673307	-1.259679	8.809600	2.531414	-0.265512	9.119785	0.952940	0.156987	-9.442711	3.524548	-3.832669	21.936064	0.000000	-4.562822	106.323227	0.464121	82.148163	0.464121	0.464121	0.379777	0.077900	0.646507
11799	9.201334	1.782256	9.043314	0.723300	-1.187243	8.809600	2.531630	-0.122706	9.087182	0.989890	0.158020	-9.441678	3.586224	-3.867121	21.957903	0.000000	-4.936183	104.402420	0.464121	82.066566	0.464121	0.464121	0.380948	0.120518	0.299643
11800	9.160524	1.851764	9.008187	0.876220	-1.185148	8.801076	2.569598	-0.112832	9.083293	1.020383	0.152337	-9.435996	3.515224	-3.833041	22.294046	0.000000	-5.282352	102.551582	0.464121	81.201912	0.464121	0.464121	0.291693	0.165641	0.473261
11801	9.081188	1.815938	9.004756	1.022815	-1.192250	8.691952	2.610982	-0.041661	9.042972	0.950275	0.083534	-9.367192	3.479880	-3.841449	22.304220	0.000000	-5.292527	101.565010	0.464121	81.117455	0.464121	0.464121	0.422924	-0.409325	-0.412887
11802	8.970900	1.778816	8.964924	1.025234	-1.309851	8.650779	2.682254	-0.041399	8.966019	0.948118	0.117421	-9.395398	3.512951	-3.981835	22.286097	0.018124	-5.274402	100.604622	0.464121	80.230232	0.464121	0.464121	0.291029	-0.009108	0.466276
11803	8.970460	1.776301	8.889407	0.987312	-1.497064	8.613183	2.646519	-0.076481	8.890828	0.950959	0.118515	-9.285564	3.477543	-3.907524	21.936792	0.367426	-4.925100	99.679184	0.464121	80.203308	0.464121	0.464121	0.291187	-0.186246	1.517252
11804	9.045327	1.737447	8.850229	0.949243	-1.539568	8.611128	2.605609	-0.041576	8.889557	1.022985	0.118515	-9.247172	3.477381	-3.756520	21.926182	0.378038	-4.914489	99.675201	0.464121	80.203308	0.464121	0.464121	0.380269	-0.365446	0.116274
11805	9.085467	1.661013	8.850052	0.947645	-1.539745	8.573236	2.492703	-0.077870	8.928394	0.951344	0.118988	-9.321831	3.514799	-3.715550	21.926182	0.378038	-4.914489	100.596268	0.464121	80.203308	0.464121	0.464121	0.202119	0.077230	0.997945
11806	9.124484	1.620857	8.925803	0.909769	-1.463993	8.534220	2.527160	-0.079010	9.043163	1.024818	0.156864	-9.399862	3.515939	-3.790163	21.926182	0.378038	-4.914489	100.624321	0.464121	80.203308	0.464121	0.464121	0.290551	-0.187991	0.467489
11807	9.125625	1.619716	8.928085	0.870752	-1.461711	8.646706	2.528301	-0.154761	9.046586	1.027100	0.082255	-9.440021	3.591690	-3.716694	21.926182	0.015594	-4.914489	100.624321	0.464121	80.203308	0.464121	0.464121	0.290246	-0.009880	0.993988
11808	9.163039	1.582302	9.002914	0.794336	-1.386881	8.763697	2.603117	-0.232764	9.084029	1.064529	0.116467	-9.479050	3.594892	-3.676120	21.926182	0.000273	-4.914489	100.624321	0.464121	79.282684	0.464121	0.464121	0.247059	-0.099138	0.117889
11809	9.202027	1.543314	9.117817	0.716332	-1.419684	8.843820	2.644166	-0.273870	9.159945	1.066590	0.155398	-9.481140	3.558022	-3.637075	21.926182	0.000000	-5.267850	100.624321	0.464121	79.231934	0.464121	0.464121	0.247236	-0.144041	-0.583169
11810	9.204592	1.613652	9.089016	0.711203	-1.312766	8.921893	2.683225	-0.349380	9.092126	1.030182	0.157963	-9.517634	3.555501	-3.598059	21.926182	0.000000	-4.943161	100.624321	0.464121	79.230881	0.464121	0.464121	0.378904	-0.497851	0.288197
11811	9.132694	1.583582	9.086205	0.747066	-1.267900	8.856017	2.722241	-0.319424	9.014322	1.027200	0.158020	-9.484639	3.447512	-3.559043	21.926182	0.000000	-4.915174	100.624321	0.464121	80.116470	0.464121	0.464121	0.467571	-0.142181	0.816205
11812	9.125811	1.686791	9.121636	0.750508	-1.264244	8.849277	2.761257	-0.209618	9.007296	1.098133	0.122517	-9.410264	3.366182	-3.626535	21.926182	0.000000	-4.574751	100.624321	0.464121	79.327286	0.464121	0.464121	0.379039	0.034073	0.293696
11813	9.125639	1.593326	9.090510	0.785622	-1.299186	8.744020	2.765245	-0.302911	8.972095	1.175994	0.083587	-9.437402	3.393148	-3.634253	21.926182	0.000000	-4.537412	100.624321	0.464121	79.233353	0.464121	0.464121	0.291202	-0.143782	0.117876
